observations,WM-hypointensities
613,-0.9393509169237764
614,-1.2015675969321236
615,-0.8504663105210811
616,-0.6198661355241359
617,-0.34043121630430556
618,-1.9822084200964027
619,-2.515306433288578
62,-1.0875790042285134
620,-1.0975771786006254
622,-1.112496670925827
623,-1.7107142664287012
624,-0.23040116601022473
625,-1.2377897842456116
627,-0.9169201515115643
629,-1.3870546920357956
63,-0.18988388607687234
630,-1.0079760290070803
631,-1.6374068943034772
632,-1.8753745334773435
633,-1.5643548971935852
634,-5.878149131092423
637,-1.2152255630951945
638,-3.763206599818756
639,-0.7912065628214756
641,-1.3139185330845866
642,-0.9993694051092803
643,-1.1815679618249557
644,-1.9434239728131528
645,-1.1707774477385477
647,-0.7466282030412859
649,-2.604177739983004
65,-0.36548977544984934
650,-1.308088774391056
651,-0.8143691334191261
652,-2.8337856014997347
653,-1.2008592327944834
655,-2.9541131400216716
657,-1.4125962466701378
658,-0.6434347811338442
659,-0.4995936133602707
66,-0.19184020596302798
661,-0.6162692964106704
662,-0.31288096987865255
663,-0.6569560126827559
664,-1.1736815256843247
665,-0.9023475128334264
666,-0.1345086482031065
667,-1.0076221599060224
668,-0.7919137175497667
67,-0.33439704404248677
670,-0.21907451924032426
671,-0.1542580591508135
672,-0.17678760503743243
673,-0.6053874127490133
674,-2.212895844098357
675,-0.20255869346289482
677,-0.5315678563402908
68,-0.4733435160368125
680,-0.21349203175058024
681,-0.6243203359266077
683,-0.36428966149919295
684,-0.6462729135361761
685,-0.3170503437411948
686,-0.2867353461463124
687,-0.2373405264402201
688,-0.3354495402946706
689,-0.4414491555463454
69,-0.18434052051029975
690,-0.17406949971387078
691,-0.881139422674436
693,-3.1146070116303743
694,-0.1745739822279673
695,-0.13398768538634956
7,-1.3550827634950733
70,-0.11130656844313133
71,-1.9476037605121528
72,-0.3273211522800881
74,-0.6788978458355616
742,-2.517578953159136
743,-1.5342404054567667
745,-2.2251230641235296
746,-1.5360835963024047
747,-2.342557035947313
75,-0.12830449336036173
750,-1.83292709165949
751,-2.007608667434858
752,-2.248141581939178
753,-1.9615205135461335
754,-1.5755617047354848
755,-1.6310165975754525
756,-1.7173924435585917
757,-0.3113954087330174
758,-1.1123532454084968
759,-0.977353052069554
76,-2.006044799335979
760,-0.21133437393055798
762,-1.11819438035238
763,-0.5577972542324746
764,-1.2406466120078978
765,-0.1567534719100299
767,-0.4322938409872598
768,-0.42848763466806516
769,-0.0935468326539961
77,-0.40509773011994765
770,-1.2815861878498613
771,-0.7849223191435182
772,-0.20131262638487366
773,-0.2900809382743139
774,-0.5674932671165701
775,-0.9495328123255284
776,-0.3131579923345901
778,-0.5842995799094933
780,-0.20315280518230275
